STN,YYYYMMDD,TG,TN,TX,RH,DR,FG,Q,year,month,day
370,2018-01-01,6.5,4.5,8.8,6.9,8.7,6.0,219,2018,1,1
370,2018-01-02,6.5,4.0,9.1,5.1,8.3,5.3,174,2018,1,2
370,2018-01-03,8.9,6.7,11.8,14.1,7.2,10.2,97,2018,1,3
370,2018-01-04,8.4,5.8,11.7,1.0,1.6,6.9,86,2018,1,4
370,2018-01-05,7.2,3.4,9.4,3.1,2.5,4.9,223,2018,1,5
370,2018-01-06,4.0,0.3,5.8,0.5,1.3,2.8,119,2018,1,6
370,2018-01-07,2.2,1.0,4.0,0.0,0.0,7.2,380,2018,1,7
370,2018-01-08,2.7,1.4,4.7,0.0,0.0,5.3,134,2018,1,8
370,2018-01-09,4.1,1.7,6.5,-0.1,0.0,2.8,189,2018,1,9
370,2018-01-10,7.3,6.1,8.5,2.4,4.5,3.3,151,2018,1,10
370,2018-01-11,6.5,4.2,8.5,0.0,0.0,1.5,204,2018,1,11
370,2018-01-12,5.4,4.9,5.7,0.0,0.0,1.3,69,2018,1,12
370,2018-01-13,5.0,3.7,6.9,0.0,0.0,2.9,203,2018,1,13
370,2018-01-14,3.5,0.6,6.0,0.0,0.0,3.5,488,2018,1,14
370,2018-01-15,5.3,0.4,7.7,10.8,9.1,6.7,106,2018,1,15
370,2018-01-16,4.8,1.7,6.8,5.5,3.2,6.1,200,2018,1,16
370,2018-01-17,3.7,1.2,5.8,6.0,2.9,6.4,221,2018,1,17
370,2018-01-18,5.0,0.4,10.9,7.6,6.4,7.6,163,2018,1,18
370,2018-01-19,3.0,0.3,6.2,6.9,3.5,4.4,454,2018,1,19
370,2018-01-20,2.1,0.5,3.4,2.3,6.8,2.8,125,2018,1,20
370,2018-01-21,2.4,-1.5,5.9,2.4,3.0,3.2,441,2018,1,21
370,2018-01-22,6.7,1.7,9.0,1.1,2.7,3.6,250,2018,1,22
370,2018-01-23,8.8,6.3,11.7,-0.1,0.0,5.5,316,2018,1,23
370,2018-01-24,12.1,7.9,14.0,0.7,1.5,7.9,187,2018,1,24
370,2018-01-25,7.5,6.0,9.1,3.6,1.6,3.6,183,2018,1,25
370,2018-01-26,4.8,0.3,7.6,0.0,0.0,1.8,290,2018,1,26
370,2018-01-27,5.1,1.1,7.4,0.7,2.3,4.8,378,2018,1,27
370,2018-01-28,9.6,5.6,12.3,0.4,1.3,6.8,292,2018,1,28
370,2018-01-29,9.1,2.7,10.9,3.6,2.7,6.6,85,2018,1,29
370,2018-01-30,3.4,-0.5,7.5,0.0,0.0,2.6,501,2018,1,30
370,2018-01-31,6.7,1.4,9.8,23.4,12.8,6.7,78,2018,1,31
370,2018-02-01,2.6,0.8,6.2,2.4,2.6,5.1,279,2018,2,1
370,2018-02-02,3.8,0.7,5.8,3.4,6.2,3.8,345,2018,2,2
370,2018-02-03,2.0,-1.5,4.6,0.3,1.0,2.7,353,2018,2,3
370,2018-02-04,0.7,-0.5,2.4,0.4,0.7,4.4,253,2018,2,4
370,2018-02-05,0.6,-2.1,3.9,0.0,0.0,4.7,920,2018,2,5
370,2018-02-06,-1.7,-4.9,1.1,0.0,0.0,4.0,453,2018,2,6
370,2018-02-07,-2.9,-6.3,2.0,0.0,0.0,2.7,910,2018,2,7
370,2018-02-08,-2.1,-7.8,4.0,0.0,0.0,2.2,535,2018,2,8
370,2018-02-09,-0.2,-3.1,2.8,0.4,2.4,4.2,485,2018,2,9
370,2018-02-10,3.1,1.2,6.9,0.7,2.1,4.4,473,2018,2,10
370,2018-02-11,3.7,0.8,7.2,4.9,5.7,6.1,422,2018,2,11
370,2018-02-12,2.1,-0.9,6.6,0.0,0.0,4.2,870,2018,2,12
370,2018-02-13,1.7,-1.3,6.7,0.0,0.0,4.3,957,2018,2,13
370,2018-02-14,1.9,-3.1,6.4,0.0,0.0,4.4,952,2018,2,14
370,2018-02-15,4.0,-0.3,9.4,5.9,8.0,4.2,228,2018,2,15
370,2018-02-16,2.1,-2.6,8.5,0.0,0.0,2.6,978,2018,2,16
370,2018-02-17,1.1,-4.5,6.9,0.0,0.0,1.9,606,2018,2,17
370,2018-02-18,0.9,-4.2,7.4,0.0,0.0,2.0,999,2018,2,18
370,2018-02-19,1.5,-2.9,4.3,0.0,0.0,2.1,415,2018,2,19
370,2018-02-20,0.8,-4.1,4.9,0.0,0.0,2.6,539,2018,2,20
370,2018-02-21,-0.1,-5.4,5.1,0.0,0.0,3.9,1087,2018,2,21
370,2018-02-22,0.6,-2.6,5.2,0.0,0.0,5.2,1096,2018,2,22
370,2018-02-23,-0.3,-4.3,3.7,0.0,0.0,5.6,1172,2018,2,23
370,2018-02-24,-0.3,-3.6,4.0,0.0,0.0,7.0,1048,2018,2,24
370,2018-02-25,-2.0,-4.4,1.4,0.0,0.0,6.3,1196,2018,2,25
370,2018-02-26,-4.0,-7.0,0.3,-0.1,0.0,5.5,729,2018,2,26
370,2018-02-27,-4.3,-10.1,0.2,0.0,0.0,4.6,1170,2018,2,27
370,2018-02-28,-5.5,-7.3,-2.6,0.0,0.0,6.0,1127,2018,2,28
370,2018-03-01,-3.6,-7.2,0.6,0.0,0.0,8.0,745,2018,3,1
370,2018-03-02,-3.2,-6.4,0.2,1.6,4.8,6.5,399,2018,3,2
370,2018-03-03,-0.7,-3.1,1.6,1.1,2.3,3.6,708,2018,3,3
370,2018-03-04,5.5,0.3,11.4,1.9,2.5,3.9,840,2018,3,4
