STN,YYYYMMDD,TG,TN,TX,RH,DR,FG,Q,year,month,day
330,2015-01-01,4.0,2.6,5.5,0.5,0.8,10.5,199,2015,1,1
330,2015-01-02,7.7,5.3,10.2,1.6,2.0,13.8,335,2015,1,2
330,2015-01-03,5.2,2.8,7.0,4.6,5.6,7.1,98,2015,1,3
330,2015-01-04,5.4,2.9,7.4,-0.1,0.0,6.8,336,2015,1,4
330,2015-01-05,3.7,1.9,4.9,0.0,0.0,5.8,95,2015,1,5
330,2015-01-06,3.2,-0.1,7.2,0.7,1.3,6.8,146,2015,1,6
330,2015-01-07,5.2,3.8,7.4,3.3,2.5,8.3,308,2015,1,7
330,2015-01-08,6.9,4.6,8.2,14.7,6.9,9.4,43,2015,1,8
330,2015-01-09,9.0,6.2,11.2,10.4,3.9,12.8,118,2015,1,9
330,2015-01-10,8.6,5.8,11.0,2.7,1.7,15.6,144,2015,1,10
330,2015-01-11,6.8,5.5,8.3,0.0,0.0,15.4,285,2015,1,11
330,2015-01-12,8.5,7.4,9.8,6.3,6.3,12.6,128,2015,1,12
330,2015-01-13,7.8,5.2,9.4,30.9,16.4,10.2,87,2015,1,13
330,2015-01-14,5.0,3.2,6.6,3.0,8.8,10.7,269,2015,1,14
330,2015-01-15,7.8,6.2,10.2,7.8,8.8,13.4,80,2015,1,15
330,2015-01-16,5.6,4.3,8.0,2.6,2.5,8.1,380,2015,1,16
330,2015-01-17,4.4,3.1,6.5,0.5,0.6,8.0,430,2015,1,17
330,2015-01-18,2.7,1.7,3.4,4.6,11.3,5.0,94,2015,1,18
330,2015-01-19,1.6,-0.9,5.7,0.0,0.0,2.2,458,2015,1,19
330,2015-01-20,1.6,0.5,3.8,1.7,1.4,4.3,244,2015,1,20
330,2015-01-21,0.4,-1.2,1.9,0.0,0.0,6.0,293,2015,1,21
330,2015-01-22,-0.8,-2.4,0.9,0.0,0.0,5.8,149,2015,1,22
330,2015-01-23,-1.3,-4.2,2.7,0.0,0.0,5.3,501,2015,1,23
330,2015-01-24,4.4,-0.1,6.9,9.7,4.1,10.9,468,2015,1,24
330,2015-01-25,5.9,4.8,7.2,1.4,1.2,5.4,215,2015,1,25
330,2015-01-26,6.9,5.3,8.2,1.0,1.7,9.3,184,2015,1,26
330,2015-01-27,6.1,4.3,7.9,0.0,0.0,6.9,515,2015,1,27
330,2015-01-28,5.7,3.3,7.3,4.5,3.5,13.5,65,2015,1,28
330,2015-01-29,4.1,1.2,5.8,10.1,10.5,10.8,262,2015,1,29
330,2015-01-30,3.3,0.3,5.1,3.0,3.4,7.1,352,2015,1,30
330,2015-01-31,3.2,1.1,6.0,3.2,2.0,4.5,303,2015,1,31
330,2015-02-01,4.3,2.5,5.9,5.7,5.3,10.4,334,2015,2,1
330,2015-02-02,3.3,1.4,5.7,3.9,3.5,8.9,372,2015,2,2
330,2015-02-03,3.1,0.3,5.9,0.2,0.6,5.1,601,2015,2,3
330,2015-02-04,1.8,-1.3,6.3,0.1,0.2,4.8,555,2015,2,4
330,2015-02-05,0.5,-1.5,3.9,0.1,0.1,6.8,484,2015,2,5
330,2015-02-06,0.2,-1.6,3.6,0.0,0.0,9.7,747,2015,2,6
