STN,YYYYMMDD,TG,TN,TX,RH,DR,FG,Q,year,month,day
370,2009-01-01,-2.4,-4.6,-1.2,0.0,0.0,1.4,83,2009,1,1
370,2009-01-02,-1.0,-6.5,1.8,0.2,0.4,2.7,102,2009,1,2
370,2009-01-03,-3.8,-9.9,0.0,0.0,0.0,1.6,278,2009,1,3
370,2009-01-04,0.6,-0.4,1.8,0.7,2.6,4.3,126,2009,1,4
370,2009-01-05,-2.3,-7.5,0.0,5.9,8.0,4.8,241,2009,1,5
370,2009-01-06,-10.7,-18.2,-5.3,0.0,0.0,2.8,752,2009,1,6
370,2009-01-07,-5.5,-17.8,-1.1,-0.1,0.0,2.0,207,2009,1,7
370,2009-01-08,-4.6,-10.6,-2.1,0.1,0.4,1.4,229,2009,1,8
370,2009-01-09,-10.4,-14.6,-5.0,-0.1,0.0,1.0,428,2009,1,9
370,2009-01-10,-9.7,-15.4,-3.3,0.0,0.0,1.5,450,2009,1,10
370,2009-01-11,-1.9,-8.5,2.3,0.0,0.0,3.9,600,2009,1,11
370,2009-01-12,4.0,1.1,5.6,-0.1,0.0,7.0,309,2009,1,12
370,2009-01-13,4.3,3.7,5.1,8.9,14.7,4.5,79,2009,1,13
370,2009-01-14,3.4,-0.1,5.4,2.4,0.9,2.8,134,2009,1,14
370,2009-01-15,2.3,0.0,5.4,0.0,0.0,2.6,469,2009,1,15
370,2009-01-16,1.7,-0.7,3.6,-0.1,0.0,3.3,243,2009,1,16
370,2009-01-17,5.5,3.4,7.1,0.6,2.2,5.2,102,2009,1,17
370,2009-01-18,5.5,2.0,8.1,5.5,3.2,6.8,144,2009,1,18
370,2009-01-19,5.7,2.1,9.9,4.0,4.2,7.0,113,2009,1,19
370,2009-01-20,4.1,2.1,7.1,0.2,0.4,5.3,429,2009,1,20
370,2009-01-21,3.4,1.8,5.1,0.0,0.0,3.7,313,2009,1,21
370,2009-01-22,4.2,2.1,5.5,3.1,4.8,7.1,149,2009,1,22
370,2009-01-23,5.2,2.8,9.0,17.0,14.3,7.1,144,2009,1,23
370,2009-01-24,2.9,0.0,5.6,-0.1,0.0,3.3,341,2009,1,24
370,2009-01-25,2.3,0.0,6.1,0.0,0.0,4.3,540,2009,1,25
370,2009-01-26,0.5,-3.1,4.5,0.0,0.0,2.2,473,2009,1,26
370,2009-01-27,-1.5,-5.4,4.1,0.0,0.0,1.7,605,2009,1,27
370,2009-01-28,-1.7,-6.3,4.3,0.0,0.0,1.8,636,2009,1,28
370,2009-01-29,-0.6,-3.8,2.1,0.0,0.0,2.3,568,2009,1,29
370,2009-01-30,0.8,-2.4,4.5,0.0,0.0,3.6,677,2009,1,30
370,2009-01-31,0.1,-1.9,2.9,0.0,0.0,4.8,675,2009,1,31
370,2009-02-01,-0.7,-2.3,0.8,-0.1,0.0,6.6,494,2009,2,1
370,2009-02-02,1.5,-1.0,3.9,0.4,1.5,5.4,155,2009,2,2
370,2009-02-03,1.8,-0.5,3.7,1.9,7.6,2.3,109,2009,2,3
370,2009-02-04,0.2,-0.5,1.0,-0.1,0.0,1.3,137,2009,2,4
370,2009-02-05,3.5,-1.7,7.4,2.3,3.0,3.0,238,2009,2,5
370,2009-02-06,4.6,-0.8,10.5,0.0,0.0,2.4,673,2009,2,6
370,2009-02-07,2.0,-2.0,4.4,3.0,3.0,2.8,153,2009,2,7
370,2009-02-08,1.1,-2.6,5.1,0.7,0.6,3.5,506,2009,2,8
370,2009-02-09,2.8,1.2,5.6,14.0,7.6,4.4,175,2009,2,9
370,2009-02-10,4.7,0.4,8.9,12.5,11.3,5.2,108,2009,2,10
370,2009-02-11,1.9,-1.2,5.5,3.1,2.5,3.8,492,2009,2,11
370,2009-02-12,1.0,-1.5,4.9,0.0,0.0,3.0,718,2009,2,12
370,2009-02-13,0.9,-1.0,2.4,0.3,1.6,2.8,232,2009,2,13
370,2009-02-14,-0.4,-4.6,3.5,0.0,0.0,2.5,865,2009,2,14
370,2009-02-15,0.4,-5.0,4.0,3.7,6.9,4.0,439,2009,2,15
370,2009-02-16,6.1,3.2,8.6,4.7,9.1,3.5,380,2009,2,16
370,2009-02-17,4.5,-0.2,7.1,5.8,10.0,4.3,152,2009,2,17
370,2009-02-18,-0.4,-3.8,3.3,0.0,0.0,2.1,726,2009,2,18
370,2009-02-19,0.8,-3.3,3.3,0.3,1.0,2.1,280,2009,2,19
370,2009-02-20,5.2,3.3,6.5,0.6,1.4,3.6,199,2009,2,20
370,2009-02-21,5.0,3.3,7.5,-0.1,0.0,2.4,376,2009,2,21
370,2009-02-22,6.5,5.3,8.6,1.4,3.2,3.6,234,2009,2,22
370,2009-02-23,5.9,5.1,7.9,0.8,3.8,4.1,286,2009,2,23
370,2009-02-24,4.3,2.7,5.2,0.0,0.0,2.0,219,2009,2,24
370,2009-02-25,5.0,2.1,7.3,0.2,0.7,4.5,469,2009,2,25
370,2009-02-26,6.9,5.8,8.4,-0.1,0.0,5.0,465,2009,2,26
370,2009-02-27,7.3,6.0,8.6,0.9,4.3,4.2,239,2009,2,27
370,2009-02-28,7.0,2.2,9.8,0.0,0.0,2.8,582,2009,2,28
370,2009-03-01,7.8,1.0,12.6,-0.1,0.0,2.8,711,2009,3,1
370,2009-03-02,5.6,-0.7,9.7,0.0,0.0,3.0,520,2009,3,2
370,2009-03-03,5.6,0.5,11.1,-0.1,0.0,4.5,463,2009,3,3
370,2009-03-04,5.9,3.6,8.1,0.9,2.7,5.0,299,2009,3,4
370,2009-03-05,4.3,0.3,7.4,0.1,0.8,3.8,578,2009,3,5
370,2009-03-06,4.7,0.0,8.3,1.9,7.6,6.1,581,2009,3,6
370,2009-03-07,4.4,-3.0,10.1,0.0,0.0,3.5,719,2009,3,7
370,2009-03-08,7.6,3.1,10.6,3.6,4.3,6.1,727,2009,3,8
370,2009-03-09,5.4,1.6,9.1,0.5,0.7,6.3,583,2009,3,9
370,2009-03-10,5.5,4.0,8.8,6.1,8.7,5.5,242,2009,3,10
370,2009-03-11,6.0,2.3,10.2,-0.1,0.0,3.3,800,2009,3,11
370,2009-03-12,7.9,5.5,10.1,3.7,7.2,5.0,185,2009,3,12
370,2009-03-13,7.6,2.3,11.9,0.0,0.0,2.3,934,2009,3,13
370,2009-03-14,9.1,6.8,13.8,0.8,2.6,3.7,598,2009,3,14
370,2009-03-15,8.7,6.7,12.0,-0.1,0.0,4.2,738,2009,3,15
370,2009-03-16,7.6,3.8,11.3,0.0,0.0,1.3,657,2009,3,16
370,2009-03-17,7.5,0.9,14.2,0.0,0.0,2.9,1187,2009,3,17
370,2009-03-18,4.5,-1.7,12.6,0.0,0.0,1.6,1252,2009,3,18
370,2009-03-19,6.0,1.9,11.0,0.0,0.0,3.5,1183,2009,3,19
370,2009-03-20,4.4,-1.4,10.6,0.0,0.0,2.3,1664,2009,3,20
370,2009-03-21,4.4,-3.6,12.4,0.0,0.0,1.7,1690,2009,3,21
370,2009-03-22,7.6,-0.7,12.3,-0.1,0.0,4.5,1090,2009,3,22
370,2009-03-23,6.8,2.6,10.3,6.3,4.2,6.5,389,2009,3,23
370,2009-03-24,4.3,0.5,8.3,1.8,1.9,4.9,945,2009,3,24
370,2009-03-25,5.4,2.3,9.4,14.8,9.9,5.7,664,2009,3,25
370,2009-03-26,6.6,2.3,9.1,4.3,7.5,6.0,323,2009,3,26
370,2009-03-27,6.8,4.3,9.6,-0.1,0.0,5.8,880,2009,3,27
370,2009-03-28,5.9,4.4,9.9,7.6,8.4,4.1,616,2009,3,28
370,2009-03-29,5.6,-0.7,9.6,0.8,1.8,3.2,987,2009,3,29
370,2009-03-30,4.5,-1.9,11.0,0.0,0.0,1.5,1884,2009,3,30
370,2009-03-31,7.0,-1.9,13.7,0.0,0.0,2.1,1845,2009,3,31
370,2009-04-01,10.3,3.5,16.1,0.0,0.0,5.8,1875,2009,4,1
370,2009-04-02,12.3,7.1,18.7,0.0,0.0,4.9,1853,2009,4,2
370,2009-04-03,14.0,4.8,23.2,0.0,0.0,2.0,1742,2009,4,3
