STN,YYYYMMDD,TG,TN,TX,RH,DR,FG,Q,year,month,day
240,2015-01-01,3.5,0.9,5.5,0.2,0.5,7.3,154,2015,1,1
240,2015-01-02,7.6,5.2,10.6,2.5,3.4,10.4,341,2015,1,2
240,2015-01-03,4.6,3.1,6.6,1.4,3.3,5.0,75,2015,1,3
240,2015-01-04,3.5,-0.9,7.9,0.1,0.1,4.0,388,2015,1,4
240,2015-01-05,2.9,0.0,3.9,0.0,0.0,4.3,157,2015,1,5
240,2015-01-06,3.2,0.7,6.8,1.7,2.5,4.2,265,2015,1,6
240,2015-01-07,4.2,1.1,7.3,3.1,2.3,6.2,324,2015,1,7
240,2015-01-08,6.8,4.2,8.7,11.3,7.5,7.3,39,2015,1,8
240,2015-01-09,9.8,5.9,12.4,6.9,4.2,12.2,112,2015,1,9
240,2015-01-10,9.2,5.2,12.3,4.1,1.2,13.5,116,2015,1,10
240,2015-01-11,6.6,4.9,8.2,-0.1,0.0,11.8,281,2015,1,11
240,2015-01-12,9.0,7.7,10.7,6.4,5.6,11.8,110,2015,1,12
240,2015-01-13,8.3,5.2,10.0,17.9,13.9,8.4,97,2015,1,13
240,2015-01-14,4.4,2.1,6.2,4.6,4.0,8.1,233,2015,1,14
240,2015-01-15,7.7,5.0,10.1,9.0,10.9,10.8,65,2015,1,15
240,2015-01-16,5.1,2.0,8.4,2.5,2.2,6.3,351,2015,1,16
240,2015-01-17,2.7,-1.1,6.3,0.1,0.1,5.6,478,2015,1,17
240,2015-01-18,2.5,1.2,3.6,5.9,11.8,3.3,109,2015,1,18
240,2015-01-19,0.2,-1.6,1.9,0.0,0.0,1.5,212,2015,1,19
240,2015-01-20,0.6,-1.6,3.6,0.0,0.0,2.6,221,2015,1,20
240,2015-01-21,-0.3,-3.0,1.6,0.0,0.0,3.8,293,2015,1,21
240,2015-01-22,-0.8,-2.8,1.3,0.0,0.0,4.4,137,2015,1,22
240,2015-01-23,-2.9,-6.3,0.7,0.0,0.0,3.3,298,2015,1,23
240,2015-01-24,2.4,-0.8,6.9,8.0,4.4,5.6,574,2015,1,24
240,2015-01-25,4.5,-0.3,6.8,0.1,0.4,4.0,200,2015,1,25
240,2015-01-26,6.6,3.2,8.6,1.5,3.9,6.4,162,2015,1,26
240,2015-01-27,5.5,2.9,7.6,-0.1,0.0,5.1,322,2015,1,27
240,2015-01-28,5.2,2.1,7.6,8.6,4.4,10.0,56,2015,1,28
240,2015-01-29,3.0,-0.1,5.5,9.6,7.4,7.8,246,2015,1,29
240,2015-01-30,1.3,-2.5,4.1,13.6,7.0,4.1,532,2015,1,30
240,2015-01-31,1.5,-1.9,5.0,0.1,0.1,3.7,465,2015,1,31
240,2015-02-01,2.9,-1.4,6.0,2.8,2.6,4.0,383,2015,2,1
240,2015-02-02,2.5,0.5,6.2,5.1,3.4,4.4,484,2015,2,2
240,2015-02-03,1.3,-2.0,6.4,-0.1,0.0,2.4,616,2015,2,3
240,2015-02-04,-0.1,-4.8,6.0,-0.1,0.0,2.2,692,2015,2,4
240,2015-02-05,-0.1,-4.0,2.3,0.2,0.6,4.6,524,2015,2,5
240,2015-02-06,0.0,-1.4,2.1,0.0,0.0,6.3,779,2015,2,6
240,2015-02-07,2.4,-5.0,6.4,-0.1,0.0,3.5,359,2015,2,7
240,2015-02-08,5.1,1.6,7.4,0.0,0.0,5.9,529,2015,2,8
240,2015-02-09,5.9,4.0,7.2,0.1,0.3,5.1,218,2015,2,9
240,2015-02-10,5.8,3.6,7.2,0.0,0.0,2.5,153,2015,2,10
240,2015-02-11,4.3,3.1,5.3,0.0,0.0,2.5,156,2015,2,11
240,2015-02-12,3.6,2.8,4.5,0.0,0.0,2.5,215,2015,2,12
240,2015-02-13,5.5,0.7,9.9,0.0,0.0,5.5,753,2015,2,13
240,2015-02-14,6.9,5.2,9.5,0.0,0.0,4.9,306,2015,2,14
240,2015-02-15,2.5,-2.0,7.6,-0.1,0.0,4.3,840,2015,2,15
240,2015-02-16,1.3,-3.6,7.3,0.0,0.0,2.3,815,2015,2,16
240,2015-02-17,3.9,-1.4,8.7,0.2,0.8,3.5,641,2015,2,17
240,2015-02-18,2.5,-2.8,8.6,0.0,0.0,4.6,994,2015,2,18
240,2015-02-19,3.7,-1.2,8.3,0.7,1.8,7.7,957,2015,2,19
240,2015-02-20,5.2,3.7,6.8,17.1,21.1,5.7,184,2015,2,20
240,2015-02-21,3.1,0.1,6.1,6.2,5.6,3.7,321,2015,2,21
240,2015-02-22,3.0,-1.8,7.6,3.4,2.9,6.5,894,2015,2,22
240,2015-02-23,6.0,3.2,9.1,2.7,3.7,8.8,904,2015,2,23
240,2015-02-24,5.5,1.7,8.9,1.5,1.7,8.1,718,2015,2,24
240,2015-02-25,4.2,-0.2,7.5,1.4,1.7,4.1,491,2015,2,25
240,2015-02-26,6.2,3.9,8.5,8.6,7.7,6.1,246,2015,2,26
240,2015-02-27,4.3,-0.4,7.9,0.0,0.0,4.8,928,2015,2,27
