STN,YYYYMMDD,TG,TN,TX,RH,DR,FG,Q,year,month,day
330,2018-01-01,6.7,5.3,7.8,2.8,3.9,8.5,195,2018,1,1
330,2018-01-02,7.0,5.8,9.1,5.7,7.8,9.5,178,2018,1,2
330,2018-01-03,8.4,5.2,10.4,8.6,3.2,15.1,122,2018,1,3
330,2018-01-04,8.2,7.0,10.1,0.7,1.4,9.7,108,2018,1,4
330,2018-01-05,6.5,5.1,8.0,6.4,3.8,6.8,113,2018,1,5
330,2018-01-06,5.1,2.9,7.1,0.0,0.0,5.5,191,2018,1,6
330,2018-01-07,1.6,-0.6,3.7,0.0,0.0,10.8,419,2018,1,7
330,2018-01-08,1.4,-0.6,3.7,0.0,0.0,7.9,218,2018,1,8
330,2018-01-09,3.4,0.7,5.8,0.0,0.0,5.8,180,2018,1,9
330,2018-01-10,6.9,4.7,7.5,1.4,3.1,6.4,94,2018,1,10
330,2018-01-11,4.5,1.3,7.4,0.0,0.0,3.6,153,2018,1,11
330,2018-01-12,5.7,4.4,6.7,0.0,0.0,3.9,112,2018,1,12
330,2018-01-13,4.8,2.3,6.6,0.0,0.0,6.4,186,2018,1,13
330,2018-01-14,3.9,2.3,6.1,0.0,0.0,6.8,398,2018,1,14
330,2018-01-15,5.5,3.0,8.2,16.8,9.2,11.6,46,2018,1,15
330,2018-01-16,5.8,2.8,7.2,5.8,3.5,12.2,300,2018,1,16
330,2018-01-17,5.6,3.9,6.6,0.0,0.0,16.0,308,2018,1,17
330,2018-01-18,5.6,3.3,9.4,11.5,7.4,12.8,234,2018,1,18
330,2018-01-19,5.0,3.8,7.5,1.0,1.3,8.5,405,2018,1,19
330,2018-01-20,3.9,2.3,5.1,1.4,3.4,5.6,147,2018,1,20
330,2018-01-21,4.5,2.7,6.9,3.2,4.9,7.6,306,2018,1,21
330,2018-01-22,6.4,2.9,7.7,0.5,2.2,8.1,241,2018,1,22
330,2018-01-23,8.1,5.1,10.2,1.4,4.8,9.0,219,2018,1,23
330,2018-01-24,10.5,6.9,13.4,7.0,3.7,11.3,124,2018,1,24
330,2018-01-25,7.6,6.4,9.4,0.0,0.0,7.3,302,2018,1,25
330,2018-01-26,5.6,3.8,7.7,0.0,0.0,4.0,314,2018,1,26
330,2018-01-27,5.9,3.4,7.5,1.3,3.3,8.8,377,2018,1,27
330,2018-01-28,9.0,7.5,10.1,0.1,0.5,10.0,436,2018,1,28
330,2018-01-29,8.4,6.0,10.1,1.9,1.8,10.1,280,2018,1,29
330,2018-01-30,5.5,3.2,7.7,0.0,0.0,5.1,474,2018,1,30
330,2018-01-31,6.9,4.7,8.9,4.2,6.9,10.3,128,2018,1,31
330,2018-02-01,4.8,3.2,6.2,4.8,5.6,8.7,435,2018,2,1
330,2018-02-02,4.8,0.5,6.6,5.4,5.2,9.8,412,2018,2,2
330,2018-02-03,2.5,0.8,4.3,8.8,4.9,3.9,92,2018,2,3
330,2018-02-04,2.5,0.1,5.4,-0.1,0.0,10.6,518,2018,2,4
330,2018-02-05,1.7,-1.5,4.3,0.0,0.0,7.7,395,2018,2,5
330,2018-02-06,-1.3,-3.2,2.4,0.0,0.0,5.8,754,2018,2,6
330,2018-02-07,-0.5,-4.3,3.1,0.0,0.0,3.9,765,2018,2,7
330,2018-02-08,2.9,0.4,6.8,0.0,0.0,5.8,602,2018,2,8
330,2018-02-09,1.0,0.0,2.3,1.8,6.2,8.6,266,2018,2,9
330,2018-02-10,4.0,0.5,6.7,2.4,4.5,8.1,665,2018,2,10
330,2018-02-11,5.0,3.1,7.0,4.6,6.6,13.2,542,2018,2,11
330,2018-02-12,3.7,2.2,5.9,0.0,0.0,8.7,717,2018,2,12
330,2018-02-13,3.3,0.6,6.9,0.0,0.0,9.6,858,2018,2,13
330,2018-02-14,3.2,-0.3,6.7,1.0,1.9,10.8,815,2018,2,14
330,2018-02-15,5.5,1.8,9.8,6.3,4.8,8.6,558,2018,2,15
330,2018-02-16,4.6,-0.6,8.0,0.0,0.0,5.4,889,2018,2,16
330,2018-02-17,3.1,-1.2,8.6,0.0,0.0,3.8,730,2018,2,17
330,2018-02-18,3.3,-2.3,8.7,0.0,0.0,4.8,932,2018,2,18
330,2018-02-19,2.9,1.8,3.8,0.1,0.4,5.8,293,2018,2,19
330,2018-02-20,2.6,0.4,5.3,0.0,0.0,4.2,427,2018,2,20
330,2018-02-21,1.4,-2.6,5.6,0.0,0.0,5.9,945,2018,2,21
330,2018-02-22,1.4,-1.4,6.0,0.0,0.0,7.4,1022,2018,2,22
330,2018-02-23,0.3,-2.3,4.1,0.0,0.0,7.8,1045,2018,2,23
330,2018-02-24,0.3,-2.9,5.0,0.0,0.0,10.7,987,2018,2,24
330,2018-02-25,-1.4,-3.9,2.6,0.0,0.0,9.3,1155,2018,2,25
