STN,YYYYMMDD,TG,TN,TX,RH,DR,FG,Q,year,month,day
260,2018-01-01,6.8,5.2,8.8,4.7,6.9,5.0,224,2018,1,1
260,2018-01-02,6.5,4.5,9.1,4.5,6.2,4.5,174,2018,1,2
260,2018-01-03,8.8,5.4,11.2,9.5,5.1,8.8,76,2018,1,3
260,2018-01-04,8.2,6.8,10.7,0.6,1.6,5.6,109,2018,1,4
260,2018-01-05,6.4,4.4,8.7,2.7,2.4,4.0,116,2018,1,5
260,2018-01-06,4.5,2.2,6.6,0.0,0.0,2.8,189,2018,1,6
260,2018-01-07,1.0,-1.2,3.1,0.0,0.0,5.9,411,2018,1,7
260,2018-01-08,1.1,-1.4,3.9,0.0,0.0,5.5,388,2018,1,8
260,2018-01-09,3.0,-0.2,6.1,0.0,0.0,3.3,190,2018,1,9
260,2018-01-10,6.9,5.8,7.6,2.6,5.8,2.8,69,2018,1,10
260,2018-01-11,5.7,2.8,7.6,0.0,0.0,1.6,135,2018,1,11
260,2018-01-12,5.0,4.1,5.9,0.0,0.0,1.5,103,2018,1,12
260,2018-01-13,4.2,1.2,6.2,0.0,0.0,3.1,90,2018,1,13
260,2018-01-14,2.9,0.8,5.2,0.0,0.0,4.3,369,2018,1,14
260,2018-01-15,5.2,1.7,8.0,13.3,9.5,6.5,57,2018,1,15
260,2018-01-16,5.2,2.5,6.9,8.3,3.9,4.9,336,2018,1,16
260,2018-01-17,4.6,2.0,6.0,2.7,2.2,5.3,205,2018,1,17
260,2018-01-18,4.7,0.5,10.2,11.1,6.5,6.4,167,2018,1,18
260,2018-01-19,3.7,1.4,6.9,5.4,3.1,3.1,326,2018,1,19
260,2018-01-20,2.2,0.8,3.6,1.1,2.0,2.7,121,2018,1,20
260,2018-01-21,3.0,-0.4,6.9,2.1,2.7,2.6,431,2018,1,21
260,2018-01-22,6.3,2.0,8.4,0.6,1.9,3.5,237,2018,1,22
260,2018-01-23,8.1,4.6,11.2,1.5,4.0,5.0,221,2018,1,23
260,2018-01-24,11.7,7.3,14.4,4.2,4.1,7.0,147,2018,1,24
260,2018-01-25,7.7,5.0,9.2,0.1,0.1,3.8,221,2018,1,25
260,2018-01-26,5.4,2.5,8.6,0.0,0.0,1.8,297,2018,1,26
260,2018-01-27,5.8,4.4,7.2,1.1,3.6,5.0,287,2018,1,27
260,2018-01-28,9.7,6.9,10.8,-0.1,0.0,5.4,278,2018,1,28
260,2018-01-29,8.8,4.6,10.7,5.2,2.8,5.8,166,2018,1,29
260,2018-01-30,4.7,2.1,7.4,0.0,0.0,2.5,485,2018,1,30
260,2018-01-31,6.5,3.2,9.5,3.8,6.4,5.4,99,2018,1,31
260,2018-02-01,3.4,1.9,6.1,4.4,4.3,4.1,290,2018,2,1
260,2018-02-02,4.4,-0.5,6.8,5.0,4.5,3.0,335,2018,2,2
260,2018-02-03,2.0,-0.4,4.6,1.7,2.2,2.6,185,2018,2,3
260,2018-02-04,1.7,-0.4,3.6,-0.1,0.0,4.3,500,2018,2,4
260,2018-02-05,1.0,-2.1,3.4,0.0,0.0,4.1,341,2018,2,5
260,2018-02-06,-2.1,-4.6,2.0,0.0,0.0,3.2,789,2018,2,6
260,2018-02-07,-2.2,-6.8,1.9,0.0,0.0,2.1,792,2018,2,7
260,2018-02-08,1.0,-2.5,4.7,0.0,0.0,2.6,666,2018,2,8
260,2018-02-09,0.6,-0.9,2.2,0.1,0.5,4.6,415,2018,2,9
260,2018-02-10,2.9,0.2,7.0,0.1,0.2,3.5,478,2018,2,10
260,2018-02-11,4.5,2.1,7.3,5.1,3.1,5.7,373,2018,2,11
260,2018-02-12,3.0,0.7,6.3,-0.1,0.0,3.7,643,2018,2,12
260,2018-02-13,2.0,-1.2,6.3,0.0,0.0,4.3,860,2018,2,13
260,2018-02-14,1.9,-2.2,5.5,0.0,0.0,5.4,873,2018,2,14
260,2018-02-15,4.3,0.5,9.9,3.5,3.8,4.5,252,2018,2,15
260,2018-02-16,3.2,-2.1,8.7,0.0,0.0,2.5,830,2018,2,16
260,2018-02-17,0.9,-3.6,7.6,0.0,0.0,1.9,686,2018,2,17
260,2018-02-18,0.7,-4.9,7.3,0.0,0.0,2.3,840,2018,2,18
260,2018-02-19,1.2,-2.5,3.4,-0.1,0.0,2.5,326,2018,2,19
260,2018-02-20,0.8,-3.8,4.6,0.0,0.0,2.3,439,2018,2,20
260,2018-02-21,0.3,-3.9,4.7,0.0,0.0,2.8,929,2018,2,21
