STN,YYYYMMDD,TG,TN,TX,RH,DR,FG,Q,year,month,day
260,2015-01-01,3.0,1.0,4.7,-0.1,0.0,5.4,213,2015,1,1
260,2015-01-02,7.3,4.4,10.1,4.3,4.6,6.1,327,2015,1,2
260,2015-01-03,3.8,2.6,5.9,1.5,3.9,3.3,67,2015,1,3
260,2015-01-04,3.9,-0.3,8.0,-0.1,0.0,2.4,372,2015,1,4
260,2015-01-05,2.4,0.9,3.8,0.0,0.0,3.0,127,2015,1,5
260,2015-01-06,2.8,0.6,5.8,1.8,2.7,3.2,270,2015,1,6
260,2015-01-07,4.5,2.4,7.2,1.2,1.2,4.2,345,2015,1,7
260,2015-01-08,6.5,3.6,8.2,17.6,9.7,5.3,32,2015,1,8
260,2015-01-09,9.9,5.8,13.7,8.5,5.8,8.1,94,2015,1,9
260,2015-01-10,9.5,5.4,13.3,3.4,1.6,8.4,82,2015,1,10
260,2015-01-11,6.4,4.9,8.2,1.4,2.2,6.4,209,2015,1,11
260,2015-01-12,8.4,6.4,10.2,1.9,5.2,8.1,67,2015,1,12
260,2015-01-13,8.6,4.1,11.0,14.0,11.9,6.4,82,2015,1,13
260,2015-01-14,4.4,3.1,6.0,1.9,2.8,5.8,192,2015,1,14
260,2015-01-15,7.9,5.8,10.3,8.0,11.2,7.9,42,2015,1,15
260,2015-01-16,5.5,2.7,8.3,1.7,1.7,4.6,395,2015,1,16
260,2015-01-17,3.0,-0.9,5.9,0.0,0.0,3.8,498,2015,1,17
260,2015-01-18,2.2,1.0,3.3,4.7,13.0,2.9,83,2015,1,18
260,2015-01-19,1.0,0.5,1.6,-0.1,0.0,1.2,142,2015,1,19
260,2015-01-20,0.8,-2.2,3.7,0.0,0.0,1.8,281,2015,1,20
260,2015-01-21,-0.5,-1.9,1.5,0.0,0.0,3.0,264,2015,1,21
260,2015-01-22,-1.2,-2.9,0.4,0.0,0.0,3.3,131,2015,1,22
260,2015-01-23,-2.8,-5.7,-1.3,0.0,0.0,2.4,136,2015,1,23
260,2015-01-24,2.2,-1.7,6.8,8.6,4.8,3.3,483,2015,1,24
260,2015-01-25,3.7,-2.1,5.6,0.3,1.4,2.6,160,2015,1,25
260,2015-01-26,5.9,4.1,8.3,3.1,6.1,3.5,114,2015,1,26
260,2015-01-27,5.1,3.0,7.7,0.1,0.3,2.8,316,2015,1,27
260,2015-01-28,5.3,3.0,7.2,8.2,4.5,6.2,52,2015,1,28
260,2015-01-29,2.4,0.2,4.5,15.0,9.7,4.5,190,2015,1,29
260,2015-01-30,1.7,-0.3,4.4,8.3,6.5,3.0,584,2015,1,30
260,2015-01-31,1.0,-2.5,4.4,0.2,0.5,2.3,377,2015,1,31
260,2015-02-01,2.6,-1.5,5.7,2.1,1.7,2.4,297,2015,2,1
260,2015-02-02,2.0,0.6,5.5,5.5,3.4,2.7,449,2015,2,2
260,2015-02-03,1.7,-1.6,6.3,0.1,0.2,2.0,663,2015,2,3
260,2015-02-04,0.2,-4.0,5.3,-0.1,0.0,2.1,504,2015,2,4
260,2015-02-05,-0.7,-3.8,2.0,0.9,0.5,3.1,508,2015,2,5
260,2015-02-06,-0.2,-2.0,3.1,0.0,0.0,4.9,767,2015,2,6
260,2015-02-07,1.5,-5.1,5.5,-0.1,0.0,2.4,319,2015,2,7
260,2015-02-08,5.0,3.4,6.7,0.0,0.0,4.5,513,2015,2,8
260,2015-02-09,5.7,4.4,7.2,0.3,0.5,3.0,163,2015,2,9
260,2015-02-10,5.7,4.6,7.2,0.2,0.8,2.3,228,2015,2,10
260,2015-02-11,4.2,3.1,5.4,0.0,0.0,2.5,162,2015,2,11
260,2015-02-12,2.6,-0.3,4.5,0.0,0.0,1.9,285,2015,2,12
260,2015-02-13,4.6,-0.3,9.9,0.0,0.0,4.3,760,2015,2,13
260,2015-02-14,6.6,4.7,10.2,0.0,0.0,4.2,374,2015,2,14
260,2015-02-15,2.6,-3.5,6.7,0.0,0.0,2.9,858,2015,2,15
260,2015-02-16,0.9,-4.9,7.7,0.0,0.0,2.0,839,2015,2,16
260,2015-02-17,3.3,-3.0,9.0,0.1,0.4,2.2,409,2015,2,17
260,2015-02-18,1.8,-3.4,8.1,0.0,0.0,3.2,983,2015,2,18
260,2015-02-19,3.5,-0.3,7.4,0.0,0.0,5.2,701,2015,2,19
260,2015-02-20,5.3,3.4,6.5,20.0,22.9,5.0,97,2015,2,20
260,2015-02-21,3.2,0.4,6.3,9.4,5.1,2.5,370,2015,2,21
260,2015-02-22,3.2,-1.8,6.8,2.2,2.9,4.8,863,2015,2,22
260,2015-02-23,5.9,2.7,9.8,2.8,3.4,6.5,712,2015,2,23
260,2015-02-24,5.4,3.5,8.9,7.3,4.1,5.4,513,2015,2,24
260,2015-02-25,4.8,1.6,8.7,2.8,3.5,3.2,611,2015,2,25
260,2015-02-26,6.3,3.7,8.3,7.0,7.7,4.5,264,2015,2,26
260,2015-02-27,4.9,-0.3,8.2,0.0,0.0,3.2,899,2015,2,27
260,2015-02-28,5.1,-0.5,9.1,-0.1,0.0,5.4,927,2015,2,28
260,2015-03-01,8.3,6.0,10.7,5.1,3.9,6.7,939,2015,3,1
260,2015-03-02,5.3,1.6,8.4,2.4,0.8,5.7,795,2015,3,2
260,2015-03-03,4.4,3.0,7.5,2.0,2.6,4.9,386,2015,3,3
260,2015-03-04,5.1,2.8,7.6,0.3,0.3,4.4,558,2015,3,4
260,2015-03-05,5.7,1.1,10.3,0.0,0.0,2.8,887,2015,3,5
260,2015-03-06,6.6,4.6,9.0,0.0,0.0,3.2,441,2015,3,6
260,2015-03-07,8.4,4.0,13.9,0.0,0.0,4.6,1041,2015,3,7
260,2015-03-08,9.3,4.0,15.7,-0.1,0.0,3.4,1366,2015,3,8
260,2015-03-09,8.8,6.7,11.3,-0.1,0.0,2.8,626,2015,3,9
260,2015-03-10,7.6,-0.7,11.3,0.2,0.7,2.6,1183,2015,3,10
260,2015-03-11,2.7,-2.0,9.5,0.0,0.0,1.8,1401,2015,3,11
260,2015-03-12,5.4,-2.9,12.7,0.0,0.0,3.1,1490,2015,3,12
260,2015-03-13,4.6,0.7,9.2,0.0,0.0,4.0,1421,2015,3,13
260,2015-03-14,3.4,0.7,5.3,0.2,0.6,3.8,353,2015,3,14
260,2015-03-15,5.6,4.5,6.8,0.1,0.9,4.5,312,2015,3,15
260,2015-03-16,6.3,0.6,12.8,0.0,0.0,2.6,1153,2015,3,16
260,2015-03-17,7.6,-1.7,17.8,0.0,0.0,1.6,1375,2015,3,17
