STN,YYYYMMDD,TG,TN,TX,RH,DR,FG,Q,year,month,day
370,2015-01-01,2.1,-2.0,4.6,0.0,0.0,5.1,402,2015,1,1
370,2015-01-02,5.6,1.8,9.0,1.4,4.0,6.3,256,2015,1,2
370,2015-01-03,2.6,0.8,3.9,5.2,7.7,3.3,70,2015,1,3
370,2015-01-04,1.8,-1.5,6.4,-0.1,0.0,2.9,379,2015,1,4
370,2015-01-05,1.3,-1.7,3.6,0.0,0.0,3.0,201,2015,1,5
370,2015-01-06,1.8,-1.2,5.0,0.7,2.1,3.5,298,2015,1,6
370,2015-01-07,3.8,1.2,6.9,0.1,0.2,4.7,410,2015,1,7
370,2015-01-08,6.3,3.6,9.3,22.7,13.7,6.1,39,2015,1,8
370,2015-01-09,9.9,5.0,14.3,11.6,5.1,8.9,92,2015,1,9
370,2015-01-10,10.0,3.7,14.2,2.8,2.9,9.0,74,2015,1,10
370,2015-01-11,5.3,1.7,7.0,-0.1,0.0,7.4,163,2015,1,11
370,2015-01-12,8.4,6.2,10.6,-0.1,0.0,10.0,92,2015,1,12
370,2015-01-13,8.6,5.5,11.4,5.8,7.8,7.9,70,2015,1,13
370,2015-01-14,4.0,2.0,5.9,5.9,2.8,6.3,181,2015,1,14
370,2015-01-15,8.4,5.8,10.4,3.1,9.3,9.1,71,2015,1,15
370,2015-01-16,5.3,2.1,8.4,0.7,1.6,4.5,376,2015,1,16
370,2015-01-17,1.7,-2.2,5.5,-0.1,0.0,3.8,556,2015,1,17
370,2015-01-18,2.9,0.7,5.4,3.1,7.2,4.1,226,2015,1,18
370,2015-01-19,1.2,-0.8,2.8,1.7,5.0,1.3,152,2015,1,19
370,2015-01-20,1.2,-0.7,3.3,0.0,0.0,1.5,247,2015,1,20
370,2015-01-21,0.0,-4.0,3.0,0.0,0.0,2.8,337,2015,1,21
370,2015-01-22,-1.1,-3.9,0.2,0.0,0.0,3.9,83,2015,1,22
370,2015-01-23,-2.1,-3.9,0.1,0.0,0.0,2.7,97,2015,1,23
370,2015-01-24,1.0,-2.9,5.6,8.2,3.9,3.5,395,2015,1,24
370,2015-01-25,2.2,-3.5,4.2,0.3,1.2,3.1,175,2015,1,25
370,2015-01-26,5.1,3.4,8.4,2.2,4.1,3.7,96,2015,1,26
370,2015-01-27,3.6,0.7,7.0,0.0,0.0,3.5,292,2015,1,27
370,2015-01-28,4.3,1.2,7.0,7.3,4.5,6.5,95,2015,1,28
370,2015-01-29,2.8,0.3,5.6,2.9,1.4,6.9,462,2015,1,29
370,2015-01-30,1.0,-0.8,3.5,1.8,2.2,3.8,350,2015,1,30
370,2015-01-31,1.4,-1.3,5.6,1.4,1.1,3.5,534,2015,1,31
370,2015-02-01,2.1,-0.3,3.7,1.4,2.1,3.3,215,2015,2,1
370,2015-02-02,1.0,-0.7,2.9,6.4,3.5,3.9,256,2015,2,2
370,2015-02-03,0.7,-2.6,4.5,0.0,0.0,2.2,461,2015,2,3
370,2015-02-04,-0.3,-5.2,4.9,2.0,1.2,2.0,600,2015,2,4
370,2015-02-05,-1.2,-6.0,0.7,0.1,0.3,3.5,284,2015,2,5
370,2015-02-06,-0.8,-2.6,2.4,0.0,0.0,6.5,741,2015,2,6
370,2015-02-07,0.9,-5.5,5.0,-0.1,0.0,2.6,613,2015,2,7
370,2015-02-08,4.2,0.4,6.9,-0.1,0.0,4.5,447,2015,2,8
370,2015-02-09,5.0,2.5,6.9,-0.1,0.0,3.3,194,2015,2,9
370,2015-02-10,5.6,4.3,7.3,0.1,0.2,2.4,308,2015,2,10
370,2015-02-11,3.1,-3.0,5.8,0.0,0.0,2.3,339,2015,2,11
370,2015-02-12,0.2,-5.0,8.3,0.0,0.0,0.9,690,2015,2,12
370,2015-02-13,4.7,-3.5,11.7,0.0,0.0,3.8,800,2015,2,13
370,2015-02-14,7.3,4.7,10.9,0.0,0.0,3.6,333,2015,2,14
370,2015-02-15,3.9,-3.8,8.2,-0.1,0.0,3.0,888,2015,2,15
370,2015-02-16,1.5,-4.5,8.8,0.0,0.0,2.0,854,2015,2,16
370,2015-02-17,3.5,-3.8,7.8,0.3,0.7,2.0,244,2015,2,17
370,2015-02-18,-0.3,-4.3,2.7,0.0,0.0,2.0,413,2015,2,18
370,2015-02-19,2.7,-1.8,6.6,0.0,0.0,4.9,701,2015,2,19
370,2015-02-20,5.6,3.7,6.6,8.9,14.0,6.1,141,2015,2,20
370,2015-02-21,3.0,-1.3,6.8,3.9,5.4,3.6,587,2015,2,21
370,2015-02-22,1.9,-2.6,5.7,1.5,2.0,4.5,486,2015,2,22
370,2015-02-23,5.2,2.1,10.8,4.8,7.8,6.7,593,2015,2,23
370,2015-02-24,4.9,1.7,9.2,2.6,1.6,6.0,647,2015,2,24
370,2015-02-25,4.0,0.1,8.2,2.0,3.0,3.3,530,2015,2,25
370,2015-02-26,6.8,3.9,9.9,4.5,6.8,4.4,447,2015,2,26
370,2015-02-27,4.6,-2.3,8.9,0.4,1.3,4.1,863,2015,2,27
370,2015-02-28,4.5,-2.1,9.7,-0.1,0.0,5.4,1015,2015,2,28
370,2015-03-01,8.7,5.5,13.0,2.3,4.0,7.4,772,2015,3,1
370,2015-03-02,4.8,2.3,9.1,2.4,1.7,6.3,745,2015,3,2
370,2015-03-03,4.0,1.7,7.1,2.8,3.0,5.6,330,2015,3,3
370,2015-03-04,4.4,1.3,8.6,0.3,0.4,5.3,885,2015,3,4
370,2015-03-05,4.3,-0.6,9.8,0.0,0.0,2.6,894,2015,3,5
370,2015-03-06,5.5,1.9,8.8,0.0,0.0,3.2,446,2015,3,6
370,2015-03-07,7.8,1.4,14.8,0.0,0.0,4.0,982,2015,3,7
370,2015-03-08,9.9,2.0,18.6,0.0,0.0,3.4,1358,2015,3,8
370,2015-03-09,8.5,4.8,11.2,0.0,0.0,2.8,550,2015,3,9
370,2015-03-10,8.4,-0.2,13.0,-0.1,0.0,3.2,1299,2015,3,10
370,2015-03-11,3.3,-2.5,9.6,0.0,0.0,1.7,1208,2015,3,11
370,2015-03-12,6.6,-1.4,12.9,0.0,0.0,3.0,1493,2015,3,12
370,2015-03-13,5.6,1.6,9.6,0.0,0.0,4.0,1335,2015,3,13
370,2015-03-14,3.5,-0.2,6.6,-0.1,0.0,4.5,454,2015,3,14
370,2015-03-15,5.8,4.1,7.9,0.2,0.9,4.9,426,2015,3,15
370,2015-03-16,5.8,-0.8,12.9,0.0,0.0,2.3,1243,2015,3,16
370,2015-03-17,8.0,-1.5,18.2,0.0,0.0,1.8,1477,2015,3,17
370,2015-03-18,6.6,0.2,12.5,0.0,0.0,3.0,1231,2015,3,18
370,2015-03-19,5.7,1.9,8.1,0.0,0.0,1.8,305,2015,3,19
370,2015-03-20,3.1,-0.2,4.9,0.0,0.0,1.6,274,2015,3,20
370,2015-03-21,6.5,3.4,9.7,1.2,1.0,5.3,729,2015,3,21
370,2015-03-22,3.6,-2.7,7.0,0.0,0.0,3.8,909,2015,3,22
370,2015-03-23,4.3,-3.8,11.9,0.0,0.0,1.8,1458,2015,3,23
370,2015-03-24,5.4,-3.5,11.7,3.5,4.0,1.8,1277,2015,3,24
370,2015-03-25,5.7,4.7,7.1,11.2,10.7,2.5,378,2015,3,25
370,2015-03-26,4.7,0.4,7.2,2.6,4.8,4.4,626,2015,3,26
370,2015-03-27,6.0,-1.3,11.3,0.0,0.0,4.6,1340,2015,3,27
370,2015-03-28,7.5,-1.6,11.9,5.3,5.9,5.5,518,2015,3,28
370,2015-03-29,9.8,7.5,11.8,20.2,12.6,8.8,312,2015,3,29
370,2015-03-30,7.2,5.3,9.6,10.1,3.9,6.7,1288,2015,3,30
370,2015-03-31,9.4,3.4,11.9,5.5,4.3,10.7,916,2015,3,31
370,2015-04-01,7.0,4.1,9.8,1.4,2.0,8.0,982,2015,4,1
370,2015-04-02,5.8,0.6,9.4,4.8,6.0,5.5,1501,2015,4,2
370,2015-04-03,6.3,-0.3,10.4,-0.1,0.0,2.1,1145,2015,4,3
370,2015-04-04,5.6,2.6,10.2,2.6,3.9,4.6,1053,2015,4,4
370,2015-04-05,5.1,-1.6,12.1,0.0,0.0,2.0,1702,2015,4,5
